Rank,Year,CompScore,RoundsWon,Name
1,2018,0,5,Joseph Saelee
2,2018,1760100,5,Jonas
3,2018,1754760,4,Green Tea
4,2018,1280180,4,Koryan
5,2018,831880,3,Harry Hong
6,2018,1533045,3,ZZYZX
7,2018,1384105,3,Josh Tolles
8,2018,1064760,3,Svavar
9,2018,952281,2,Terry Purcell
10,2018,1494351,2,Jeff Moore
11,2018,1279537,2,Alex Kerr
12,2018,1134240,2,Chad Muse
13,2018,1132700,2,Ben Mullen
14,2018,1127640,2,Jani Herlevi
15,2018,723413,2,Joey
16,2018,679564,2,Matt Buco
17,2018,880054,1,Mike Winzinek
18,2018,638213,1,Frank Westphal
19,2018,523200,1,Packie
20,2018,1257237,1,Matt Schoolmaster
21,2018,1154939,1,Eli Markstrom
22,2018,1045411,1,SQR
23,2018,954360,1,Peter Grisafi
24,2018,826624,1,Jake Stein
25,2018,704940,1,Patrick N
26,2018,650347,1,David Legendre
27,2018,644935,1,Stacy Schierholz
28,2018,632440,1,Trey Harrison
29,2018,621439,1,Gin
30,2018,506772,1,Paul Tesi
31,2018,490422,1,Chris Brady
32,2018,376019,1,Sam Parry
33,2018,575099,0,Kristen Stein
34,2018,592900,0,Burke Kenny
35,2018,428831,0,Robin
36,2018,410980,0,Betastrep
37,2018,385080,0,Ethan Daniels
38,2018,173393,0,Jon Baker
39,2018,112667,0,Greg Vander Velden
40,2018,110720,0,Justin O
1,2017,0,5,Jonas
2,2017,1462140,5,Alex Kerr
3,2017,1226584,4,Hauser
4,2017,1070446,4,Matt Bucco
5,2017,1401246,3,Jani Herlevi
6,2017,1360716,3,Harry Hong
7,2017,901120,3,Chad Muse
8,2017,778229,3,Eli Markstrom
9,2017,1024840,2,Koryan
10,2017,878000,2,Trey Harrison
11,2017,437780,2,Bo Steil
12,2017,299930,2,Ben Mullen
13,2017,955920,2,Sean Miller
14,2017,954447,2,Chris Brady
15,2017,803096,2,Jeff Moore
16,2017,390180,2,Peter Grisafi
17,2017,513405,1,Sam Parry
18,2017,342758,1,Mike Winzinek
19,2017,1061080,1,Frank Westphal
20,2017,765325,1,Gin
21,2017,749325,1,Matt Schoolmaster
22,2017,558321,1,Joey
23,2017,549044,1,SQR
24,2017,454822,1,Kevin Birrell
25,2017,405893,1,Stacy Schierholz
26,2017,400060,1,Vince Clemente
27,2017,385016,1,Paul Tesi
28,2017,383932,1,Robin
29,2017,340253,1,Rigel Pierce
30,2017,252568,1,Mary Powell
31,2017,244144,1,Douglas Arcadi
32,2017,136867,1,Greg Vander Velden
1,2016,0,5,Jonas
2,2016,2273465,5,Jeff Moore
3,2016,1865509,4,Harry Hong
4,2016,1986211,4,Koryan
5,2016,1532340,3,Trey Harrison
6,2016,1375633,3,Alex Kerr
7,2016,2015440,3,Quaid
8,2016,1320200,3,Jani Herlevi
9,2016,166398,2,Matt Schoolmaster
10,2016,1601163,2,Eli Markstrom
11,2016,1410013,2,Mike Winzinek
12,2016,2244050,2,Terry Purcell
13,2016,1886576,2,Ben Mullen
14,2016,1676760,2,Chad Muse
15,2016,1530475,2,Bo Steil
16,2016,1217800,2,Joey
17,2016,1465188,1,Peter Grisafi
18,2016,1052157,1,Robin
19,2016,1771899,1,Brian Pellegrin
20,2016,1763963,1,Matt Buco
21,2016,1665672,1,Dana Wilcox
22,2016,1579649,1,Jake Stein
23,2016,1523320,1,Frank Westphal
24,2016,1440948,1,Gin
25,2016,1378760,1,Cameron Eure
26,2016,1326570,1,Chris Brady
27,2016,1266424,1,Patrick N
28,2016,1081420,1,Rigel Pierce
29,2016,951280,1,Adam Cornelius
30,2016,929867,1,Vince Clemente
31,2016,896047,1,Jordan Harrison
32,2016,772840,1,Sean Miller
1,2015,2220443,5,Jonas
2,2015,2115274,5,Quaid
3,2015,2193613,4,Alex Kerr
4,2015,2077140,4,Harry Hong
5,2015,2126727,3,Bo Steil
6,2015,1907738,3,Matt Buco
7,2015,1879729,3,Terry Purcell
8,2015,1329356,3,Chad Muse
9,2015,1777740,2,Jani Herlevi
10,2015,1592045,2,Chris Brady
11,2015,1499098,2,Joey
12,2015,2270491,2,Jeff Moore
13,2015,1499098,2,Mike Winzinek
14,2015,1362239,2,David Vulich
15,2015,1265500,2,Peter Grisafi
16,2015,1184664,2,Matt Schoolmaster
17,2015,1449559,1,Dana Wilcox
18,2015,1358858,1,Cameron Eure
19,2015,1282975,1,Vince Clemente
20,2015,1572069,1,Trey Harrison
21,2015,1500429,1,Danny Vulich
22,2015,1327299,1,Frank Westphal
23,2015,1168582,1,Robin
24,2015,1074981,1,Chris Extine
25,2015,1051033,1,Rigel Pierce
26,2015,1049038,1,Adam Cornelius
27,2015,939995,1,Steven Hugnes
28,2015,916469,1,Gin
29,2015,815677,1,Ryan Ritchie
30,2015,813490,1,Jason Simoneaux
31,2015,637363,1,Brian Glessner
32,2015,471739,1,Kim Arceo
1,2014,0,5,Harry Hong
2,2014,2432910,5,Jonas
3,2014,760365,4,Terry Purcell
4,2014,687478,4,Eli Markstrom
5,2014,1360287,3,Bo Steil
6,2014,1071517,3,Alex Kerr
7,2014,684881,3,Chris Brady
8,2014,674416,3,Josh Tolles
9,2014,1251800,2,Cameron Eure
10,2014,454357,2,Mike Winzinek
11,2014,735651,2,Matt Schoolmaster
12,2014,729829,2,Jeff Moore
13,2014,699455,2,Ben Mullen
14,2014,657056,2,Dana Wilcox
15,2014,557195,2,Quaid
16,2014,519427,2,Jake Stein
17,2014,822736,1,Kristen Stein
18,2014,551662,1,Ryan Ritchie
19,2014,1033518,1,Robin
20,2014,874821,1,Matt Buco
21,2014,838890,1,Chad Muse
22,2014,820122,1,Trey Harrison
23,2014,758325,1,Vince Clemente
24,2014,704622,1,Chris Extine
25,2014,564937,1,Rigel Pierce
26,2014,562948,1,Jani Herlevi
27,2014,542440,1,Grant Siefker
28,2014,502393,1,Jon Baker
29,2014,465018,1,Patrick N
30,2014,348173,1,Frank Westphal
31,2014,321643,1,Jason Simoneaux
32,2014,168115,1,Steven Hughes
1,2013,0,5,Jonas
2,2013,2479352,5,Harry Hong
3,2013,861170,4,Chad Muse
4,2013,520700,4,Matt Buco
5,2013,1531520,3,Trey Harrison
6,2013,1244267,3,Ben Mullen
7,2013,999815,3,Josh Tolles
8,2013,761557,3,Jani Herlevi
9,2013,1331790,2,Quaid
10,2013,1209124,2,David Vulich
11,2013,889977,2,Shakil Assi
12,2013,883400,2,Chris Brady
13,2013,747440,2,Bo Steil
14,2013,423909,2,Mike Winzinek
15,2013,410237,2,Robin
16,2013,348857,2,Bob Jenkins
17,2013,731115,1,Ryan Ritchie
18,2013,910900,1,Dana Wilcox
19,2013,762803,1,Terry Purcell
