player,score,level,playtime
Tonie,71641,5,6
Lorette,79619,2,50
Zonda,36446,1,4
Fancy,99987,1,20
Alvan,33628,3,48
Maren,19324,4,29
Elsworth,7473,1,15
Melinda,57227,1,42
Keefer,87232,5,30
Benedick,64854,5,59
Candide,61375,1,2
Aretha,74782,2,25
Giffer,89548,1,56
Raphaela,96050,3,37
Filmer,61601,5,47
Dredi,22065,5,33
Shurlock,91937,2,21
Chucho,23116,4,14
Chadwick,43364,4,46
Callida,57440,1,52
Stu,34341,3,55
Leigha,95388,1,11
Ailyn,23456,2,56
Kaycee,83137,4,46
Cliff,10026,2,33
Minna,21258,1,53
Albrecht,94359,3,51
Colly,30662,1,38
Lari,34059,5,53
Lem,34728,2,38
Rosemarie,96177,2,6
Janeva,16548,4,51
Birgit,16089,3,57
Jarib,19479,1,60
Zolly,6082,5,48
Quinn,85888,4,23
Jacklin,50617,2,43
Burke,16764,3,43
Valencia,43751,4,15
Skelly,11335,1,51
Jacintha,89012,2,58
Franciskus,15526,5,41
Alfy,26866,2,11
Harlene,94212,4,34
Filmore,7837,1,27
Lammond,41661,3,3
Edeline,60007,2,3
Garnette,35306,5,15
Wallache,64576,2,34
Osbourn,13832,2,53
Theressa,71903,1,52
Deidre,58295,2,3
Val,82617,2,35
Joyan,59077,4,12
Thea,18828,2,57
Devinne,64721,2,25
Zak,70217,1,33
Ortensia,40134,3,13
Haroun,15398,2,45
Garvey,90851,5,44
Kathie,4589,1,11
Diena,70199,5,16
Loren,73700,2,3
Ody,73440,2,42
Tedie,41663,1,55
Tybalt,36970,2,14
Dory,76828,3,60
Frederica,68629,5,2
Boycey,75753,3,36
Maxi,48077,2,18
Shirline,41566,1,48
Gil,15343,5,17
Jarred,16131,5,42
Mendy,80538,2,27
Chrysler,62038,4,42
Karlens,68239,1,6
Mariann,23586,5,37
Malva,14416,5,15
Aloin,62436,5,41
Jillane,56185,2,44
Nanice,15118,3,17
Vanya,97910,1,51
Peyter,98096,3,5
Isak,54147,1,34
Merralee,52741,1,35
Perri,88222,1,53
Roscoe,13254,1,15
Archer,80806,3,32
Felicdad,96788,2,47
Harper,66699,3,27
Ginni,73012,1,9
Kareem,60548,5,43
Isadora,39041,5,1
Raffaello,84820,4,52
Major,92090,5,1
Lyell,6249,5,12
Randolf,38679,1,52
Mildrid,58157,2,52
Karlik,66521,2,24
Sarge,91584,3,56
Doralin,28495,3,20
Lavena,80610,4,28
Cassie,39978,1,33
Annette,50382,3,17
Ashely,81313,3,58
Liza,46833,4,44
Trey,37941,2,44
Teirtza,53177,1,54
Lilli,22864,2,32
Hyacinthe,71372,1,37
Jennine,70918,3,39
Pedro,59046,2,39
Marrilee,88006,4,57
Rupert,13456,5,46
Lucretia,90149,2,48
Mireielle,45655,5,5
Caitrin,48371,5,3
Berenice,90192,3,59
Friedrich,99793,2,57
Sharlene,18092,4,3
Hayyim,29260,2,26
Carol,42333,1,23
Carlo,52497,4,48
Florentia,39786,5,22
Elisabeth,27039,3,27
Murray,63335,2,54
Shelton,398,4,5
Dulsea,50370,2,8
Rudolph,64438,3,48
Debbi,79728,5,18
Chickie,84881,2,39
Sosanna,70695,1,50
Andriana,50588,5,14
Giselbert,41892,5,36
Gretchen,23575,2,5
Yvette,1252,2,11
