Name,Year,Rank,CompScore,RoundsWon
Joseph Saelee,2018,1,0,5
Jonas,2018,2,1760100,5
Green Tea,2018,3,1754760,4
Koryan,2018,4,1280180,4
Harry Hong,2018,5,831880,3
ZZYZX,2018,6,1533045,3
Josh Tolles,2018,7,1384105,3
Svavar,2018,8,1064760,3
Terry Purcell,2018,9,952281,2
Jeff Moore,2018,10,1494351,2
Alex Kerr,2018,11,1279537,2
Chad Muse,2018,12,1134240,2
Ben Mullen,2018,13,1132700,2
Jani Herlevi,2018,14,1127640,2
Joey,2018,15,723413,2
Matt Buco,2018,16,679564,2
Mike Winzinek,2018,17,880054,1
Frank Westphal,2018,18,638213,1
Packie,2018,19,523200,1
Matt Schoolmaster,2018,20,1257237,1
Eli Markstrom,2018,21,1154939,1
SQR,2018,22,1045411,1
Peter Grisafi,2018,23,954360,1
Jake Stein,2018,24,826624,1
Patrick N,2018,25,704940,1
David Legendre,2018,26,650347,1
Stacy Schierholz,2018,27,644935,1
Trey Harrison,2018,28,632440,1
Gin,2018,29,621439,1
Paul Tesi,2018,30,506772,1
Chris Brady,2018,31,490422,1
Sam Parry,2018,32,376019,1
Kristen Stein,2018,33,575099,0
Burke Kenny,2018,34,592900,0
Robin,2018,35,428831,0
Betastrep,2018,36,410980,0
Ethan Daniels,2018,37,385080,0
Jon Baker,2018,38,173393,0
Greg Vander Velden,2018,39,112667,0
Justin O,2018,40,110720,0
Jonas,2017,1,0,5
Alex Kerr,2017,2,1462140,5
Hauser,2017,3,1226584,4
Matt Bucco,2017,4,1070446,4
Jani Herlevi,2017,5,1401246,3
Harry Hong,2017,6,1360716,3
Chad Muse,2017,7,901120,3
Eli Markstrom,2017,8,778229,3
Koryan,2017,9,1024840,2
Trey Harrison,2017,10,878000,2
Bo Steil,2017,11,437780,2
Ben Mullen,2017,12,299930,2
Sean Miller,2017,13,955920,2
Chris Brady,2017,14,954447,2
Jeff Moore,2017,15,803096,2
Peter Grisafi,2017,16,390180,2
Sam Parry,2017,17,513405,1
Mike Winzinek,2017,18,342758,1
Frank Westphal,2017,19,1061080,1
Gin,2017,20,765325,1
Matt Schoolmaster,2017,21,749325,1
Joey,2017,22,558321,1
SQR,2017,23,549044,1
Kevin Birrell,2017,24,454822,1
Stacy Schierholz,2017,25,405893,1
Vince Clemente,2017,26,400060,1
Paul Tesi,2017,27,385016,1
Robin,2017,28,383932,1
Rigel Pierce,2017,29,340253,1
Mary Powell,2017,30,252568,1
Douglas Arcadi,2017,31,244144,1
